Institution Number,PI Last Name,PI First Name,PI Department Name,Investigator ALL Last Name,Investigator ALL First Name,Investigator ALL Dept or Unit,Sponsor Name,Project Title,Requested Project Period Start Date,Requested Project Period End Date,Project Total Requested Sponsor Costs (entire project),Current Proposal Status,Current Proposal Status Date,ARRA Funding,Sponsor Award Number
PT091636,Barrett,Kirsten,Survey and Evaluation Research Laboratory,Barrett~,Kirsten~,Physical Therapy~,Virginia Department of Health,Days to Treatment and Days to Diagnosis: Barriers and Strategies,1-Mar-05,31-May-05,3793,Award Destroyed,23-Aug-11,N,712J51867
PT091637,Barrett,Kirsten,Survey and Evaluation Research Laboratory,Barrett~,Kirsten~,Physical Therapy~,Virginia Department of Health,Evaluation of Three Methods of WIC Nutrition Education,1-Jan-03,31-Dec-03,55507,Award Destroyed,20-Jun-11,N,NA
PT091638,Barrett,Kirsten,Survey and Evaluation Research Laboratory,Barrett~,Kirsten~,Physical Therapy~,Virginia Department of Health,Evaluation of Virginia's Health Promotions for People with Disabilities Grant,1-Apr-04,31-Mar-05,27157,Award Destroyed,31-Jan-13,N,659C41677
PT091639,Barrett,Kirsten,Survey and Evaluation Research Laboratory,Barrett~,Kirsten~,Physical Therapy~,Virginia Department of Health,Hemophilia Study,1-Jun-04,31-May-05,14850,Award Destroyed,10-Jan-13,N,657X41666
PT091640,Barrett,Kirsten,Survey and Evaluation Research Laboratory,Barrett~,Kirsten~,Physical Therapy~,Virginia Department of Health,Needs Assessment of Families Living with Sickle Cell Disease,1-Jan-05,30-Jun-05,5987,Award Destroyed,23-Aug-11,N,657V51855
PT091641,Barrett,Kirsten,Survey and Evaluation Research Laboratory,Barrett~,Kirsten~,Physical Therapy~,Virginia Department of Health,Qualitative Assessment of SWOT Data,15-Nov-03,15-Mar-04,5240,Award Destroyed,7-Jul-11,N,P.Req.116023
PT091642,Barrett,Kirsten,Survey and Evaluation Research Laboratory,Barrett~,Kirsten~,Physical Therapy~,Virginia Department of Health,Secondary Data Analysis on ESRD_ Diabetes_ and Arthritis,1-Mar-04,30-Jun-04,4974,Award Destroyed,7-Jul-11,N,Pur.Req.201869
PT091643,Barrett,Kirsten,Survey and Evaluation Research Laboratory,Barrett~,Kirsten~,Physical Therapy~,Virginia Department of Health,Survey of BCCEDP Provider Site Staff,1-Nov-04,30-Jun-05,3828,Award Destroyed,23-Aug-11,N,NA
PT091644,Barrett,Kirsten,Survey and Evaluation Research Laboratory,Barrett~,Kirsten~,Physical Therapy~,Virginia Department of Health,Survey of Community Outreach Workers,1-Nov-04,30-Jun-05,9347,Award Destroyed,23-Aug-11,N,712J41783
PT091645,Barrett,Kirsten,Survey and Evaluation Research Laboratory,Barrett~,Kirsten~,Physical Therapy~,Virginia Department of Health,Survey of Continuing Education Needs among Providers in VDH's Breast and Cervical Cancer Early Detection Program,15-Jan-04,30-Jun-04,12046,Award Destroyed,7-Jul-11,N,712J41539
PT091646,Barrett,Kirsten,Survey and Evaluation Research Laboratory,Barrett~,Kirsten~,Physical Therapy~,Virginia Department of Health,Survey of Healthcare Provider Awareness of VDH's Breast and Cervical Cancers,15-Jan-04,30-Jun-04,29896,Award Destroyed,7-Jul-11,N,712J41594
PT091647,Barrett,Kirsten,Survey and Evaluation Research Laboratory,Barrett~,Kirsten~,Physical Therapy~,Virginia Department of Health,Survey of Public Health Essential Services,1-Jun-04,30-Sep-04,34200,Award Destroyed,20-Jul-11,N,659H41668
PT091648,Barrett,Kirsten,Survey and Evaluation Research Laboratory,Barrett~,Kirsten~,Physical Therapy~,Virginia Department of Health,WIC Consumer Satisfaction Survey,1-May-03,31-Dec-03,8210,Award Destroyed,20-Jun-11,N,696ED31368
PT091649,Barrett,Kirsten,Survey and Evaluation Research Laboratory,Barrett~,Kirsten~,Physical Therapy~,Virginia Department of Health,WIC Nutrition Services Evaluation Instrumentation Project,15-Apr-02,31-Dec-02,11790,Award Destroyed,20-Jun-11,N,696EA21099
PT091650,Bodamer,Cheryl,Obstetrics and Gynecology,Bodamer~,Cheryl~,Obstetrics and Gynecology~,Virginia Department of Health,Healthy Start Program,1-Feb-03,31-Jan-04,197848,Award Destroyed,20-Jun-11,N,712R21112
PT091651,Bodamer,Cheryl,Obstetrics and Gynecology,Bodamer~,Cheryl~,Obstetrics and Gynecology~,Virginia Department of Health,Medium Chain Acyl-CoA Dehydrogenase Deficiency Screening Program,1-Jan-04,30-Apr-04,20000,Award Destroyed,7-Jul-11,N,657G41529
PT091652,Bodamer,Cheryl,Obstetrics and Gynecology,Bodamer~,Cheryl~,Obstetrics and Gynecology~,Virginia Department of Health,Virginia Newborn Screening Program,1-Oct-01,31-Dec-01,16288,Award Destroyed,20-Jun-11,N,657U11019
PT091653,Bradford,Judith,Survey and Evaluation Research Laboratory,Bradford~,Judith~,Wilder School of Government and Public Affairs~,Virginia Department of Health,2003 Virginia Department of Health Maternal Child Health Program Evaluation,1-May-03,30-Jun-04,66501,Award Destroyed,23-Aug-11,N,657J31341
PT091654,Bradford,Judith,Survey and Evaluation Research Laboratory,Bradford~,Judith~,Wilder School of Government and Public Affairs~,Virginia Department of Health,Abstinence Education Program Evaluation and Data Management,1-Oct-01,30-Sep-02,174053,Award Destroyed,20-Jun-11,N,713EB0739
PT091655,Bradford,Judith,Survey and Evaluation Research Laboratory,Bradford~,Judith~,Wilder School of Government and Public Affairs~,Virginia Department of Health,Administrative Support,1-Jul-02,30-Jun-03,409458,Award Destroyed,20-Jun-11,N,610-40505-2002-001
PT091656,Bradford,Judith,Survey and Evaluation Research Laboratory,Bradford~,Judith~,Wilder School of Government and Public Affairs~,Virginia Department of Health,Demonstration of the Usefulness of Uniform Reporting Systems Client Level Data for Evaluation of HIV/AIDS Service,29-Sep-00,28-Sep-01,37326,Award Destroyed,20-Jun-11,N,611-89611-00-001
PT091657,Bradford,Judith,Survey and Evaluation Research Laboratory,Bradford~,Judith~,Wilder School of Government and Public Affairs~,Virginia Department of Health,Demonstration of the Usefulness of Uniform Reporting Systems Client-Level Data for Evalution,29-Sep-02,28-Sep-03,162181,Award Destroyed,16-Jul-08,N,611-89611-00-001
PT091658,Bradford,Judith,Survey and Evaluation Research Laboratory,Bradford~,Judith~,Wilder School of Government and Public Affairs~,Virginia Department of Health,Demonstration Project to Provide Strength-based Case Management Service in the Community,1-Oct-04,30-Sep-06,271768,Award Destroyed,24-Feb-14,N,601-611-VCU Link-04-R1
PT091659,Bradford,Judith,Survey and Evaluation Research Laboratory,Bradford~,Judith~,Wilder School of Government and Public Affairs~,Virginia Department of Health,Epidemiology and Public Health Implication of Estuary-Associated Syndrome,15-Mar-02,14-Mar-03,227716,Award Destroyed,1-Jul-11,N,601-617-93282-98-4
PT091660,Bradford,Judith,Survey and Evaluation Research Laboratory,Cohn~Bradford~Hunter~Urban~,Wendy~Judith~Kimberly~David~,Public Health Sciences Administration~Wilder School of Government and Public Affairs~Survey and Evaluation Research Laboratory~Marketing~,Virginia Department of Health,Evaluation of the Virginia Department of Health Teen Pregnancy Initiative(13),1-Jul-05,30-Jun-08,673428,Award Archived,19-Mar-13,N,713E21128
PT091661,Bradford,Judith,Survey and Evaluation Research Laboratory,Bradford~,Judith~,Wilder School of Government and Public Affairs~,Virginia Department of Health,HIV Community Planning Committee,1-Jul-01,30-Jun-02,129000,Award Destroyed,20-Jun-11,N,6.02E+15
PT091662,Bradford,Judith,Survey and Evaluation Research Laboratory,Bradford~,Judith~,Wilder School of Government and Public Affairs~,Virginia Department of Health,HIV Community Planning Technical Asssistance,1-Jan-04,31-Dec-04,225000,Award Destroyed,20-Nov-12,N,601-611-45406-04-EVL
PT091663,Bradford,Judith,Survey and Evaluation Research Laboratory,Bradford~,Judith~,Wilder School of Government and Public Affairs~,Virginia Department of Health,HIV Prevention Evaluation System,1-Jul-01,30-Jun-02,100000,Award Destroyed,20-Jun-11,N,601-611-45406-00-3
PT091664,Bradford,Judith,Survey and Evaluation Research Laboratory,Bradford~,Judith~,Wilder School of Government and Public Affairs~,Virginia Department of Health,HIV Prevention Statewide Evaluation Program,1-Jul-02,31-Dec-02,147500,Award Destroyed,20-Jun-11,N,601-611-45406-00-3
PT091665,Bradford,Judith,Survey and Evaluation Research Laboratory,Bradford~,Judith~,Wilder School of Government and Public Affairs~,Virginia Department of Health,HIV Prevention Statewide Evaluation Program Modification 1,1-Jan-03,31-Jan-04,42000,Award Destroyed,20-Jun-11,N,601-611-45406-03EVL
PT091666,Bradford,Judith,Survey and Evaluation Research Laboratory,Bradford~,Judith~,Wilder School of Government and Public Affairs~,Virginia Department of Health,Impact Study: Evaluation of the Impact of Ryan White Title I Funding on HIV-Related Morbidity,1-Jul-99,31-Dec-01,44805,Award Destroyed,20-Jun-11,N,NA
PT091668,Bradford,Judith,Survey and Evaluation Research Laboratory,Bradford~,Judith~,Wilder School of Government and Public Affairs~,Virginia Department of Health,National HIV Behavioral Surveillance System 2005,1-Apr-04,28-Feb-06,472401,Award Destroyed,1-Feb-13,N,601 611-VCUBEHAVIOR
PT091669,Bradford,Judith,Survey and Evaluation Research Laboratory,Bradford~,Judith~,Wilder School of Government and Public Affairs~,Virginia Department of Health,On-going Maintenance of the Behavioral Risk Factor Surveillance System (BRFSS14),1-Jul-01,30-Jun-02,225300,Award Destroyed,20-Jun-11,N,651F11007
PT091671,Bradford,Judith,Survey and Evaluation Research Laboratory,Bradford~,Judith~,Wilder School of Government and Public Affairs~,Virginia Department of Health,Research Consultation and TA for the State's HIV Community Planning Committee,1-Jan-05,31-Dec-05,225000,Award Destroyed,5-Feb-13,N,601-611-45417-05-EVL
PT091672,Bradford,Judith,Survey and Evaluation Research Laboratory,Bradford~,Judith~,Wilder School of Government and Public Affairs~,Virginia Department of Health,Right Choices for Youth Technical Assistance and Instrument Development,1-Oct-03,30-Sep-04,56530,Award Destroyed,20-Jun-11,N,529A41609
PT091673,Bradford,Judith,Survey and Evaluation Research Laboratory,Bradford~,Judith~,Wilder School of Government and Public Affairs~,Virginia Department of Health,Ryan White CARE Act HIV Services,1-Apr-98,31-Mar-03,1804165,Award Destroyed,20-Jun-11,N,601-611-45416-98-001-3
PT091674,Bradford,Judith,Survey and Evaluation Research Laboratory,Bradford~,Judith~,Wilder School of Government and Public Affairs~,Virginia Department of Health,Ryan White Central Virginia HIV CARE Constortium,1-Apr-01,31-Mar-02,70668,Award Destroyed,20-Jun-11,N,601-611-45416-98-001-3
PT091675,Hunter,Kimberly,Survey and Evaluation Research Laboratory,Hagen~Braden~Braden~Smith~Williams~Bryant~Ware~White~Skaritza~Tandler~Programmer~Priday~Mullarney~Rhodes~Bradford~Hunter~McLain~Thacker~Adler~,Scott~Terell~Tina~Miranda~Mark~Bradford~Terry~Susan~John~Patrick~~Anna~Sarah~Anne~Judith~Kimberly~Barbara~Charles~Julie~,NA,Virginia Department of Health,Ryan White Title II Data Management ADAP Forecasting_ Maintenance,1-Apr-00,31-Mar-12,3335031,Award In Closeout,13-Feb-13,N,601-611-45416-00-1 Renewal 11
PT091679,Bradford,Judith,Survey and Evaluation Research Laboratory,Bradford~,Judith~,Wilder School of Government and Public Affairs~,Virginia Department of Health,Ryan White Title II Emerging Communities HIV/AIDS Services,13-Jul-01,31-Mar-02,700000,Award Destroyed,20-Jun-11,N,NA
PT091680,Wilson,Fred,Survey and Evaluation Research Laboratory,TBA~Braden~Durham~Okoth~Bennett~Reed~Cathers~Wilson~,~Tina~Lisa~Simon~Diane~Ramont~Lauretta~Fred~,NA,Virginia Department of Health,Ryan White Title II-Central Virginia HIV CARE Consortium,1-Apr-05,31-Mar-09,10581162,Award Closed,27-Nov-13,N,601-611-45416-03-CON-03
PT091683,Bradford,Judith,Survey and Evaluation Research Laboratory,Bradford~,Judith~,Wilder School of Government and Public Affairs~,Virginia Department of Health,Technical Assistance and Management for Epidemiology,1-Jul-03,30-Jun-04,41718,Award Destroyed,20-Jun-11,N,610-40505-2003-001
PT091684,Bradford,Judith,Survey and Evaluation Research Laboratory,Bradford~,Judith~,Wilder School of Government and Public Affairs~,Virginia Department of Health,Technical Assistance and Management for the Division of HIV/STD,1-Jul-03,30-Jun-04,1063348,Award Destroyed,20-Nov-12,N,601-608-66608-02-1R2
PT091685,Bradford,Judith,Survey and Evaluation Research Laboratory,Bradford~,Judith~,Wilder School of Government and Public Affairs~,Virginia Department of Health,Technical Assistance and Management for the Virginia Cancer Center 2006-2007,1-Jul-03,30-Jun-07,1139837,Award Archived,17-Oct-12,N,633B31364
PT091686,Bradford,Judith,Survey and Evaluation Research Laboratory,Bradford~,Judith~,Wilder School of Government and Public Affairs~,Virginia Department of Health,Technical Assistance to the Division of HIV/STD,1-Jul-01,30-Jun-02,1080774,Award Destroyed,20-Jun-11,N,601-608-66608-02-1
PT091687,Bradford,Judith,Survey and Evaluation Research Laboratory,Bradford~,Judith~,Wilder School of Government and Public Affairs~,Virginia Department of Health,Technical Assistance to VDH Division of Surveillance and Investigation,1-Jul-04,30-Jun-05,228269,Award Destroyed,26-Nov-12,N,610-40505-2005-001
PT091689,Bradford,Judith,Survey and Evaluation Research Laboratory,Bradford~,Judith~,Wilder School of Government and Public Affairs~,Virginia Department of Health,Teen Pregnancy Prevention Initiative Evaluation Services,1-Jun-01,31-May-02,121015,Award Destroyed,20-Jun-11,N,713V8118
PT091691,Bradford,Judith,Survey and Evaluation Research Laboratory,Bradford~Urban~,Judith~David~,Wilder School of Government and Public Affairs~Marketing~,Virginia Department of Health,Virginia Abstinence Education Initiative,1-Oct-05,30-Sep-06,1011112,Award Destroyed,10-Dec-12,N,713EB0739
PT091692,Bradford,Judith,Survey and Evaluation Research Laboratory,Bradford~,Judith~,Wilder School of Government and Public Affairs~,Virginia Department of Health,Virginia Cancer Registry Support Services,1-Jul-01,30-Jun-02,601224,Award Destroyed,20-Jun-11,N,NA
PT091693,Brubaker,Sarah,Sociology,Brubaker~,Sarah~,Sociology~,Virginia Department of Health,Child and Adolescent Health Graduate Level Intern,15-Aug-04,15-May-05,18000,Award Destroyed,21-Nov-12,N,713EC41705
PT091695,Carretta,Henry,Health Administration,Carretta~,Henry~,Pediatric Dentistry~,Virginia Department of Health,Virginia Asthma Control Project,1-Jan-03,31-Dec-03,30000,Award Destroyed,20-Jun-11,N,MOA#659MC31251
PT091696,Chapman,Derek,Family Medicine and Population Health,Chapman~,Derek~,Family Medicine and Population Health~,Virginia Department of Health,MCH Epidemiology Collaboration,1-Sep-05,30-Nov-06,187182,Award Destroyed,22-Aug-12,N,651B41644 mod. 3
PT091697,Cohen,Robert,Psychiatry,Cohen~,Robert~,Psychiatry~,Virginia Department of Health,Center for Injury and Violence Prevention,1-Jan-03,1-Jun-03,29944,Award Destroyed,20-Jun-11,N,714M31274
PT091699,Buck,Deana,SOE Teach Lrng Dept,Buck~Cox~,Deana~Ann~,SOE Spec Ed and DP PPD~SOE Teach Lrng Dept~,Virginia Department of Health,New Born Hearing Screening Training,31-Mar-04,30-Mar-05,145000,Award Destroyed,3-Dec-12,N,657D1884
PT091700,Cox,Ann,SOE Deans Office Dean's Suite,Cox~,Ann~,SOE Teach Lrng Dept~,Virginia Department of Health,Virginia Lead Poisoning Education Project,1-Oct-01,30-Sep-02,152075,Award Destroyed,20-Jun-11,N,713Q1965
PT091701,Cutchin,Diana,Student Health,Cutchin~,Diana~,Student Health~,Virginia Department of Health,Campus Sexual Assault Conference,10-Mar-04,30-Jun-04,5250,Award Destroyed,20-Jul-11,N,Pur. Req. 208716
PT091702,Cutchin,Diana,Student Health,Cutchin~,Diana~,Student Health~,Virginia Department of Health,Male Peer Group,1-Jun-03,30-Sep-03,1885,Award Destroyed,20-Jun-11,N,112211
PT091703,Eisenberg,John,SOE Teach Lrng Dept,Eisenberg~,John~,SOE Teach Lrng Dept~,Virginia Department of Health,Birth Defects/Genetics Conference,1-Jul-04,31-Dec-04,15000,Award Destroyed,20-Jul-11,N,657S41691
PT091704,Ellis,James,Survey and Evaluation Research Laboratory,Ellis~,James~,Survey and Evaluation Research Laboratory~,Virginia Department of Health,Behavioral Risk Factors Surveillance System (2004/2005),1-Jul-04,30-Jun-05,505293,Award Destroyed,24-Aug-11,N,NA
PT091705,Ellis,James,Survey and Evaluation Research Laboratory,Ellis~,James~,Survey and Evaluation Research Laboratory~,Virginia Department of Health,On-going Maintenance of the Behavioral Risk Factor Surveillance System,1-Jul-02,30-Jun-03,246131,Award Destroyed,1-Jul-11,N,651F21148
PT091706,Ellis,James,Survey and Evaluation Research Laboratory,Ellis~,James~,Survey and Evaluation Research Laboratory~,Virginia Department of Health,Public Health Emergency Wallet Card Survey 2004,1-Jul-04,31-Oct-04,13281,Award Destroyed,18-Jul-11,N,96304-2004-002
PT091707,Ellis,James,Survey and Evaluation Research Laboratory,Ellis~,James~,Survey and Evaluation Research Laboratory~,Virginia Department of Health,Survey of Smoking Policies at Virginia Institutes of Higher Education,25-Feb-03,31-Oct-03,8933,Award Destroyed,5-Jul-11,N,659E31292
PT091708,Eustis Turf,Elizabeth,Survey and Evaluation Research Laboratory,Eustis Turf~,Elizabeth~,Pharmacology and Toxicology~,Virginia Department of Health,Epidemiology and Public Health Implication of Estuary-Associated Syndrome,15-Mar-03,14-Mar-04,93787,Award Destroyed,7-Jul-11,N,601-617-93282-98-4
PT091709,Fox,J,Center for Environmental Studies,Fox~,J~,Center for Environmental Studies~,Virginia Department of Health,A Pre Post Survey to Measure Knowledge and Attitudes Concerning Childhood Lead Poisoning in Virginia,15-Sep-03,31-Dec-03,29860,Award Destroyed,5-Jul-11,N,713Q31500
PT091710,Fox,J,Center for Environmental Studies,Fox~,J~,Center for Environmental Studies~,Virginia Department of Health,To Model and Visually Display Childhood Lead Poisoning Risk in Virginia,1-Jul-02,31-Aug-02,17025,Award Destroyed,20-Jun-11,N,713Q21126
PT091711,Funk,Carolyn,Wilder School of Government and Public Affairs,Funk~,Carolyn~,Wilder School of Government and Public Affairs~,Virginia Department of Health,Awareness of Child Passenger Safety Issues,1-Jun-02,30-Aug-02,10000,Award Destroyed,20-Jun-11,N,714C21107
PT091714,Hancock,Linda,Student Health,Hancock~,Linda~,Student Health~,Virginia Department of Health,College Tobacco use Prevention/Cessation Project,1-Jun-02,31-May-03,13799,Proposal Not Awarded,20-Aug-05,N,659F9542
PT091715,Hancock,Linda,Student Health,Hancock~,Linda~,Student Health~,Virginia Department of Health,Tobacco Use Control Project,1-Sep-04,30-Jun-05,14000,Award Destroyed,3-Dec-12,N,659J31494
PT091716,Hancock,Linda,Student Health,Hancock~,Linda~,Student Health~,Virginia Department of Health,Tobocca Use Control Project,1-Jun-02,31-May-03,13799,Award Destroyed,12-Jul-11,N,659J31494
PT091717,Hanes,Woody,Area Health Education Center,Hanes~,Woody~,Area Health Education Center~,Virginia Department of Health,Operation of the Statewide AHEC and Generalist Medicine Activities,1-Jul-02,30-Sep-03,158139,Award Destroyed,20-Jun-11,N,03-548-16.STAHEC
PT091720,Johnson,Betty,General Medicine and Primary Care,Johnson~,Betty~,General Medicine and Primary Care~,Virginia Department of Health,Surveillance of TB Disease and Survey of TB Screening Practices on US College and University Campuses,1-Jul-03,30-Jun-04,37838,Award Destroyed,13-Jul-11,N,DTC-04-5
PT091721,Maloney,Diane,Center for Public Policy,Maloney~,Diane~,Center for Public Policy~,Virginia Department of Health,CDC Suicide Prevention Project,21-Feb-03,30-Aug-03,20500,Award Destroyed,20-Jun-11,N,714P31270
